,file_name,hyperparameter,profit,elapsed_time,peak_memory,avg_memory
416,set_4481650_XGB_simple_SOAnp_meta.pkl,"{'learning_rate': 0.20600193819583376, 'max_depth': 7, 'subsample': 0.9047194493210582, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",4475.58,271.731971,6286.5859375,5882.850740131579
417,set_4481650_XGB_simple_SOAp_meta.pkl,"{'learning_rate': 0.20600193819583376, 'max_depth': 7, 'subsample': 0.9047194493210582, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",4449.979999999999,271.731851,6286.5859375,5882.850740131579
418,set_460650_ANN_complex_IOA_meta.pkl,"[13, 26, 0.0065986172551861415, 34, 10, 64, 'sigmoid']",51962.59920000002,1514.979,7741.60546875,7116.347367546193
419,set_460650_ANN_complex_SOAnp_meta.pkl,"[7, 8, 0.7901501886009417, 34, 10, 128, 'relu']",61241.52019999999,1132.631837,10811.984375,8787.646720467033
420,set_460650_ANN_complex_SOAp_meta.pkl,"[7, 8, 0.7901501886009417, 34, 10, 128, 'relu']",61403.6974,1145.805677,6743.37890625,4661.4438883463545
421,set_460650_ANN_simple_IOA_meta.pkl,"[6, 12, 0.0029893930045256406, 16, 10, 16, 'relu']",5304.219999999999,1046.58169,2997.52734375,2503.35000978787
422,set_460650_ANN_simple_SOAnp_meta.pkl,"[15, 28, 0.14543028112539264, 36, 10, 32, 'tanh']",5247.6399999999985,1234.404048,5833.5859375,4853.875
423,set_460650_ANN_simple_SOAp_meta.pkl,"[15, 28, 0.14543028112539264, 36, 10, 32, 'tanh']",5250.63,1234.40452,5833.5859375,4853.796875
424,set_460650_XGB_complex_IOA_meta.pkl,"{'learning_rate': 0.48904829361613184, 'max_depth': 5, 'subsample': 0.8395173859687398, 'tree_method': 'hist', 'num_target': 6, 'multi_strategy': 'multi_output_tree'}",61427.339100000005,766.251169,10413.84375,10008.589008826335
425,set_460650_XGB_complex_SOAnp_meta.pkl,"{'learning_rate': 0.7896674747828833, 'max_depth': 9, 'subsample': 0.4532892168940323, 'tree_method': 'hist', 'num_target': 6, 'multi_strategy': 'multi_output_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",58423.8906,836.051456,19598.21875,17578.58662923177
426,set_460650_XGB_complex_SOAp_meta.pkl,"{'learning_rate': 0.7896674747828833, 'max_depth': 9, 'subsample': 0.4532892168940323, 'tree_method': 'hist', 'num_target': 6, 'multi_strategy': 'multi_output_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",58430.9715,847.900487,15519.3359375,13468.92183554293
427,set_460650_XGB_simple_IOA_meta.pkl,"{'learning_rate': 0.5589610212399745, 'max_depth': 2, 'subsample': 0.9758819750982721, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'}",5291.56,365.722809,5313.7734375,5150.374348958333
428,set_460650_XGB_simple_SOAnp_meta.pkl,"{'learning_rate': 0.8856071069151614, 'max_depth': 4, 'subsample': 0.9181682002159322, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",4810.25,339.772933,6382.9921875,6382.94140625
429,set_460650_XGB_simple_SOAp_meta.pkl,"{'learning_rate': 0.8856071069151614, 'max_depth': 4, 'subsample': 0.9181682002159322, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",4839.329999999999,339.772969,6382.9921875,6382.91015625
430,set_461650_ANN_complex_IOA_meta.pkl,"[0, 29, 0.01991248849533929, 50, 10, 16, 'relu']",59893.2163,1365.319031,6986.703125,6768.560834654288
431,set_461650_ANN_complex_SOAnp_meta.pkl,"[14, 28, 0.09164112761505579, 44, 10, 64, 'tanh']",57320.349,1464.257869,16467.1953125,14433.096327319588
432,set_461650_ANN_complex_SOAp_meta.pkl,"[14, 28, 0.09164112761505579, 44, 10, 64, 'tanh']",57418.81460000001,1496.921269,12367.80859375,10290.121015625
433,set_461650_ANN_simple_IOA_meta.pkl,"[7, 17, 0.0163441151572331, 34, 10, 64, 'relu']",5017.1900000000005,853.302324,3352.15625,2590.4830616918102
434,set_461650_ANN_simple_SOAnp_meta.pkl,"[7, 3, 0.048867884138305714, 47, 10, 16, 'tanh']",4752.280000000001,1171.206983,5596.1015625,4838.8359375
435,set_461650_ANN_simple_SOAp_meta.pkl,"[7, 3, 0.048867884138305714, 47, 10, 16, 'tanh']",4671.67,1171.207167,5596.1015625,4838.73046875
436,set_461650_XGB_complex_IOA_meta.pkl,"{'learning_rate': 0.4812981394876776, 'max_depth': 4, 'subsample': 0.6445190478428642, 'tree_method': 'hist', 'num_target': 6, 'multi_strategy': 'multi_output_tree'}",59816.36540000001,1427.864367,17036.88671875,16917.74907309322
437,set_461650_XGB_complex_SOAnp_meta.pkl,"{'learning_rate': 0.4924023191191733, 'max_depth': 8, 'subsample': 0.89865018419372, 'tree_method': 'hist', 'num_target': 6, 'multi_strategy': 'multi_output_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",56316.4775,1715.965042,26295.76953125,24273.50509868421
438,set_461650_XGB_complex_SOAp_meta.pkl,"{'learning_rate': 0.4924023191191733, 'max_depth': 8, 'subsample': 0.89865018419372, 'tree_method': 'hist', 'num_target': 6, 'multi_strategy': 'multi_output_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",56297.499200000006,1710.934734,22216.046875,20201.756949013157
439,set_461650_XGB_simple_IOA_meta.pkl,"{'learning_rate': 0.4069562709122989, 'max_depth': 3, 'subsample': 0.6190913157461777, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'}",4940.559999999999,330.020088,5138.73046875,5108.915838068182
440,set_461650_XGB_simple_SOAnp_meta.pkl,"{'learning_rate': 0.28785742212427434, 'max_depth': 2, 'subsample': 0.8282247871527761, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",4788.91,312.462908,6272.7734375,6241.6171875
441,set_461650_XGB_simple_SOAp_meta.pkl,"{'learning_rate': 0.28785742212427434, 'max_depth': 2, 'subsample': 0.8282247871527761, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",4791.889999999999,312.4634,6272.7734375,6241.6171875
442,set_4960650_ANN_complex_IOA_meta.pkl,"[2, 21, 0.009195569914185565, 31, 10, 128, 'sigmoid']",39979.22049999999,1180.913695,8841.33984375,8039.606525279156
443,set_4960650_ANN_complex_SOAnp_meta.pkl,"[15, 21, 0.05774235664391818, 50, 10, 16, 'sigmoid']",61241.52019999999,1425.92916,18034.94921875,16010.331339518229
444,set_4960650_ANN_complex_SOAp_meta.pkl,"[15, 21, 0.05774235664391818, 50, 10, 16, 'sigmoid']",61223.0049,1441.81669,13940.046875,11845.200255102041
