;file_name;hyperparameter;profit;elapsed_time;peak_memory;avg_memory;relative_profit
217;set_4481650_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.3338896333172897, 'max_depth': 2, 'subsample': 0.7935725482082912, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5873,57;280,58;4717,05;4655,16;0,98
310;set_5306250_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.4975315451893191, 'max_depth': 6, 'subsample': 0.31476224320511725, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5873,86;229,00;117142,23;13445,56;0,98
105;set_4241650_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.10254107619462803, 'max_depth': 3, 'subsample': 0.5243508176559154, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5875,17;242,59;4054,65;4028,34;0,98
311;set_5306250_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.4975315451893191, 'max_depth': 6, 'subsample': 0.31476224320511725, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5876,55;229,00;117142,23;13445,56;0,98
51;set_4121650_ANN_simple_IOA_meta.pkl;[8, 7, 0.0821212468454238, 37, 10, 64, 'relu'];5878,50;818,19;3165,10;2363,51;0,98
185;set_431650_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.1917842229042339, 'max_depth': 2, 'subsample': 0.43037341641821025, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5879,99;229,91;3267,11;3258,03;0,98
239;set_461650_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.15113998125388003, 'max_depth': 3, 'subsample': 0.5804913832828339, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5880,64;255,32;4017,62;3964,24;0,98
233;set_461650_ANN_simple_IOA_meta.pkl;[10, 28, 0.003464956550889376, 37, 10, 32, 'relu'];5880,84;1026,31;3184,65;2474,53;0,98
309;set_5306250_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.4991440325799458, 'max_depth': 2, 'subsample': 0.7654731255086199, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5883,56;264,57;4222,44;4169,41;0,99
322;set_5306300_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.25069446123757616, 'max_depth': 6, 'subsample': 0.7481258445502251, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5884,33;252,41;111374,46;17487,52;0,97
303;set_5306250_ANN_simple_IOA_meta.pkl;[10, 13, 0.00025229689735632276, 39, 10, 32, 'relu'];5885,55;7721,80;3180,56;2785,50;0,99
323;set_5306300_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.25069446123757616, 'max_depth': 6, 'subsample': 0.7481258445502251, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5886,09;252,41;111374,46;17487,52;0,97
228;set_460650_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.49124312726008273, 'max_depth': 5, 'subsample': 0.89922740010816, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5895,01;235,85;5000,16;4941,17;0,99
